pokedex_number;name;generation;type1;type2;color;evolving_stade;hp;atk;def;sp_atk;sp_def;spd;base_stats;is_legendary;capt_rate;exp_growth;egg_steps;height;weight;base_happiness;classif;percentage_male;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water
104;Cubone;1;ground;;Brown;1;50;50;95;40;50;35;320;0;190;1000000;5120;0.41;6.5;70;Lonely Pokémon;50;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2
105;Marowak;1;ground;;Brown;3;60;80;110;50;80;45;425;0;75;1000000;5120;0.99;45.0;70;Bone Keeper Pokémon;50;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2
105;Marowak-Alola;7;fire;ghost;Purple;3;60;80;110;50;80;45;425;0;75;1000000;5120;0.99;34.0;70;Bone Keeper Pokémon;50;0.25;2;1;1;0.5;0;0.5;1;2;0.5;2;0.5;0;0.5;1;2;0.5;2
106;Hitmonlee;1;fighting;;Brown;3;50;120;53;35;110;87;455;0;45;1000000;6400;1.50;49.8;70;Kicking Pokémon;100;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1
107;Hitmonchan;1;fighting;;Brown;3;50;105;79;35;110;76;455;0;45;1000000;6400;1.40;50.2;70;Punching Pokémon;100;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1
108;Lickitung;1;normal;;Pink;1;90;55;75;60;75;30;385;0;45;1000000;5120;1.19;65.5;70;Licking Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
109;Koffing;1;poison;;Purple;1;40;65;95;60;45;35;340;0;190;1000000;5120;0.61;1.0;70;Poison Gas Pokémon;50;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1
110;Weezing;1;poison;;Purple;3;65;90;120;85;70;60;490;0;60;1000000;5120;1.19;9.5;70;Poison Gas Pokémon;50;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1
111;Rhyhorn;1;ground;rock;Grey;1;80;85;95;30;30;25;345;0;120;1250000;5120;0.99;115.0;70;Spikes Pokémon;50;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4
112;Rhydon;1;ground;rock;Grey;2;105;130;120;45;45;40;485;0;60;1250000;5120;1.91;120.0;70;Drill Pokémon;50;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4
113;Chansey;1;normal;;Pink;1;250;5;5;35;105;50;450;0;30;800000;10240;1.09;34.6;140;Egg Pokémon;0;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
114;Tangela;1;grass;;Blue;1;65;55;115;100;40;60;435;0;45;1000000;5120;0.99;35.0;70;Vine Pokémon;50;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5
115;Kangaskhan;1;normal;;Brown;3;105;125;100;60;100;100;590;0;45;1000000;5120;2.21;80.0;70;Parent Pokémon;0;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
116;Horsea;1;water;;Blue;1;30;40;70;70;25;60;295;0;225;1000000;5120;0.41;8.0;70;Dragon Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
117;Seadra;1;water;;Blue;2;55;65;95;95;45;85;440;0;75;1000000;5120;1.19;25.0;70;Dragon Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
118;Goldeen;1;water;;Red;1;45;67;60;35;50;63;320;0;225;1000000;5120;0.61;15.0;70;Goldfish Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
119;Seaking;1;water;;Red;3;80;92;65;65;80;68;450;0;60;1000000;5120;1.30;39.0;70;Goldfish Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
120;Staryu;1;water;;Brown;1;30;45;55;70;55;85;340;0;225;1250000;5120;0.79;34.5;70;Starshape Pokémon;;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
121;Starmie;1;water;psychic;Purple;3;60;75;85;100;85;115;520;0;60;1250000;5120;1.09;80.0;70;Mysterious Pokémon;;2;2;1;2;1;0.5;0.5;1;2;2;1;0.5;1;1;0.5;1;0.5;0.5
122;Mr. Mime;1;psychic;fairy;Pink;3;40;45;65;100;120;90;460;0;45;1000000;6400;1.30;54.5;70;Barrier Pokémon;50;1;1;0;1;1;0.25;1;1;2;1;1;1;1;2;0.5;1;2;1
123;Scyther;1;bug;flying;Green;1;70;110;80;55;80;105;500;0;45;1000000;6400;1.50;56.0;70;Mantis Pokémon;50;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1
124;Jynx;1;ice;psychic;Red;3;65;50;35;115;95;95;455;0;45;1000000;6400;1.40;40.6;70;Humanshape Pokémon;0;2;2;1;1;1;1;2;1;2;1;1;0.5;1;1;0.5;2;2;1
125;Electabuzz;1;electric;;Yellow;1;65;83;57;95;85;105;490;0;45;1000000;6400;1.09;30.0;70;Electric Pokémon;75.4;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1
126;Magmar;1;fire;;Red;1;65;95;57;100;85;93;495;0;45;1000000;6400;1.30;44.5;70;Spitfire Pokémon;75.4;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
127;Pinsir;1;bug;;Brown;3;65;155;120;65;90;105;600;0;45;1250000;6400;1.50;55.0;70;Stagbeetle Pokémon;50;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1
128;Tauros;1;normal;;Brown;3;75;100;95;40;70;110;490;0;45;1250000;5120;1.40;88.4;70;Wild Bull Pokémon;100;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
129;Magikarp;1;water;;Red;1;20;10;55;15;20;80;200;0;255;1250000;1280;0.89;10.0;70;Fish Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
130;Gyarados;1;water;flying;Blue;3;95;155;109;70;130;81;640;0;45;1250000;1280;6.50;235.0;70;Atrocious Pokémon;50;0.5;1;1;4;1;0.5;0.5;1;1;1;0;1;1;1;1;2;0.5;0.5
131;Lapras;1;water;ice;Blue;3;130;85;80;85;95;60;535;0;45;1250000;10240;2.49;220.0;70;Transport Pokémon;50;1;1;1;2;1;2;1;1;1;2;1;0.25;1;1;1;2;1;0.5
132;Ditto;1;normal;;Purple;3;48;48;48;48;48;48;288;0;35;1000000;5120;0.30;4.0;70;Transform Pokémon;;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
133;Eevee;1;normal;;Brown;1;55;55;50;45;65;55;325;0;45;1000000;8960;0.30;6.5;70;Evolution Pokémon;88.1;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
134;Vaporeon;1;water;;Blue;3;130;65;60;110;95;65;525;0;45;1000000;8960;0.99;29.0;70;Bubble Jet Pokémon;88.1;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
135;Jolteon;1;electric;;Yellow;3;65;65;60;110;95;130;525;0;45;1000000;8960;0.79;24.5;70;Lightning Pokémon;88.1;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1
136;Flareon;1;fire;;Red;3;65;130;60;95;110;65;525;0;45;1000000;8960;0.89;25.0;70;Flame Pokémon;88.1;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
137;Porygon;1;normal;;Pink;1;65;60;70;85;75;40;395;0;45;1000000;5120;0.79;36.5;70;Virtual Pokémon;;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
138;Omanyte;1;rock;water;Blue;1;35;40;100;90;55;35;355;0;45;1000000;7680;0.41;7.5;70;Spiral Pokémon;88.1;1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1
139;Omastar;1;rock;water;Blue;3;70;60;125;115;70;55;495;0;45;1000000;7680;0.99;35.0;70;Spiral Pokémon;88.1;1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1
140;Kabuto;1;rock;water;Brown;1;30;80;90;55;45;55;355;0;45;1000000;7680;0.51;11.5;70;Shellfish Pokémon;88.1;1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1
141;Kabutops;1;rock;water;Brown;3;60;115;105;65;70;80;495;0;45;1000000;7680;1.30;40.5;70;Shellfish Pokémon;88.1;1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1
142;Aerodactyl;1;rock;flying;Purple;3;80;135;85;70;95;150;615;0;45;1250000;8960;1.80;59.0;70;Fossil Pokémon;88.1;0.5;1;1;2;1;1;0.5;0.5;1;1;0;2;0.5;0.5;1;2;2;2
143;Snorlax;1;normal;;Black;3;160;110;65;65;110;30;540;0;25;1250000;10240;2.11;460.0;70;Sleeping Pokémon;88.1;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
144;Articuno;1;ice;flying;Blue;3;90;85;100;95;125;85;580;1;3;1250000;20480;1.70;55.4;35;Freeze Pokémon;;0.5;1;1;2;1;1;2;1;1;0.5;0;1;1;1;1;4;2;1
145;Zapdos;1;electric;flying;Yellow;3;90;90;85;125;90;100;580;1;3;1250000;20480;1.60;52.6;35;Electric Pokémon;;0.5;1;1;1;1;0.5;1;0.5;1;0.5;0;2;1;1;1;2;0.5;1
146;Moltres;1;fire;flying;Yellow;3;90;100;90;125;85;90;580;1;3;1250000;20480;2.01;60.0;35;Flame Pokémon;;0.25;1;1;2;0.5;0.5;0.5;1;1;0.25;0;1;1;1;1;4;0.5;2
147;Dratini;1;dragon;;Blue;1;41;64;45;50;50;50;300;0;45;1250000;10240;1.80;3.3;35;Dragon Pokémon;50;1;1;2;0.5;2;1;0.5;1;1;0.5;1;2;1;1;1;1;1;0.5
148;Dragonair;1;dragon;;Blue;2;61;84;65;70;70;70;420;0;45;1250000;10240;3.99;16.5;35;Dragon Pokémon;50;1;1;2;0.5;2;1;0.5;1;1;0.5;1;2;1;1;1;1;1;0.5
149;Dragonite;1;dragon;flying;Brown;3;91;134;95;100;100;80;600;0;45;1250000;10240;2.21;210.0;35;Dragon Pokémon;50;0.5;1;2;1;2;0.5;0.5;1;1;0.25;0;4;1;1;1;2;1;0.5
150;Mewtwo;1;psychic;;Purple;3;106;150;70;194;120;140;780;1;3;1250000;30720;2.01;122.0;0;Genetic Pokémon;;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1
151;Mew;1;psychic;;Pink;3;100;100;100;100;100;100;600;1;45;1059860;30720;0.41;4.0;100;New Species Pokémon;;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1
152;Chikorita;2;grass;;Green;1;45;49;65;49;65;45;318;0;45;1059860;5120;0.89;6.4;70;Leaf Pokémon;88.1;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5
153;Bayleef;2;grass;;Green;2;60;62;80;63;80;60;405;0;45;1059860;5120;1.19;15.8;70;Leaf Pokémon;88.1;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5
154;Meganium;2;grass;;Green;3;80;82;100;83;100;80;525;0;45;1059860;5120;1.80;100.5;70;Herb Pokémon;88.1;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5
155;Cyndaquil;2;fire;;Yellow;1;39;52;43;60;50;65;309;0;45;1059860;5120;0.51;7.9;70;Fire Mouse Pokémon;88.1;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
156;Quilava;2;fire;;Yellow;2;58;64;58;80;65;80;405;0;45;1059860;5120;0.89;19.0;70;Volcano Pokémon;88.1;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
157;Typhlosion;2;fire;;Yellow;3;78;84;78;109;85;100;534;0;45;1059860;5120;1.70;79.5;70;Volcano Pokémon;88.1;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
158;Totodile;2;water;;Blue;1;50;65;64;44;48;43;314;0;45;1059860;5120;0.61;9.5;70;Big Jaw Pokémon;88.1;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
159;Croconaw;2;water;;Blue;2;65;80;80;59;63;58;405;0;45;1059860;5120;1.09;25.0;70;Big Jaw Pokémon;88.1;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
160;Feraligatr;2;water;;Blue;3;85;105;100;79;83;78;530;0;45;1059860;5120;2.31;88.8;70;Big Jaw Pokémon;88.1;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
161;Sentret;2;normal;;Brown;1;35;46;34;35;45;20;215;0;255;1000000;3840;0.79;6.0;70;Scout Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
162;Furret;2;normal;;Brown;3;85;76;64;45;55;90;415;0;90;1000000;3840;1.80;32.5;70;Long Body Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
163;Hoothoot;2;normal;flying;Brown;1;60;30;30;36;56;50;262;0;255;1000000;3840;0.71;21.2;70;Owl Pokémon;50;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1
164;Noctowl;2;normal;flying;Brown;3;100;50;50;86;96;70;452;0;90;1000000;3840;1.60;40.8;70;Owl Pokémon;50;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1
165;Ledyba;2;bug;flying;Red;1;40;20;30;40;80;55;265;0;255;800000;3840;0.99;10.8;70;Five Star Pokémon;50;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1
166;Ledian;2;bug;flying;Red;3;55;35;50;55;110;85;390;0;90;800000;3840;1.40;35.6;70;Five Star Pokémon;50;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1
167;Spinarak;2;bug;poison;Green;1;40;60;40;40;40;30;250;0;255;800000;3840;0.51;8.5;70;String Spit Pokémon;50;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1
168;Ariados;2;bug;poison;Red;2;70;90;70;60;70;40;400;0;90;800000;3840;1.09;33.5;70;Long Leg Pokémon;50;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1
169;Crobat;2;poison;flying;Purple;3;85;90;80;70;80;130;535;0;90;1000000;3840;1.80;75.0;70;Bat Pokémon;50;0.25;1;1;2;0.5;0.25;1;1;1;0.25;0;2;1;0.5;2;2;1;1
170;Chinchou;2;water;electric;Blue;1;75;38;38;56;56;67;330;0;190;1250000;5120;0.51;12.0;70;Angler Pokémon;50;1;1;1;1;1;1;0.5;0.5;1;2;2;0.5;1;1;1;1;0.25;0.5
171;Lanturn;2;water;electric;Blue;3;125;58;58;76;76;67;460;0;75;1250000;5120;1.19;22.5;70;Light Pokémon;50;1;1;1;1;1;1;0.5;0.5;1;2;2;0.5;1;1;1;1;0.25;0.5
172;Pichu;2;electric;;Yellow;0;20;40;15;35;35;60;205;0;190;1000000;2560;0.30;2.0;70;Tiny Mouse Pokémon;50;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1
173;Cleffa;2;fairy;;Pink;0;50;25;28;45;55;15;218;0;150;800000;2560;0.30;3.0;140;Star Shape Pokémon;24.6;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1
174;Igglybuff;2;normal;fairy;Pink;0;90;30;15;40;20;15;210;0;170;800000;2560;0.30;1.0;70;Balloon Pokémon;24.6;0.5;0.5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1
175;Togepi;2;fairy;;White;1;35;20;65;40;65;20;245;0;190;800000;2560;0.30;1.5;70;Spike Ball Pokémon;88.1;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1
176;Togetic;2;fairy;flying;White;2;55;40;85;80;105;40;405;0;75;800000;2560;0.61;3.2;70;Happiness Pokémon;88.1;0.25;0.5;0;2;1;0.25;1;1;1;0.5;0;2;1;2;1;2;2;1
177;Natu;2;psychic;flying;Green;1;40;50;45;70;45;70;320;0;190;1000000;5120;0.20;2.0;70;Little Bird Pokémon;50;1;2;1;2;1;0.25;1;1;2;0.5;0;2;1;1;0.5;2;1;1
178;Xatu;2;psychic;flying;Green;3;65;75;70;95;70;95;470;0;75;1000000;5120;1.50;15.0;70;Mystic Pokémon;50;1;2;1;2;1;0.25;1;1;2;0.5;0;2;1;1;0.5;2;1;1
179;Mareep;2;electric;;White;1;55;40;40;65;45;35;280;0;235;1059860;5120;0.61;7.8;70;Wool Pokémon;50;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1
180;Flaaffy;2;electric;;Pink;2;70;55;55;80;60;45;365;0;120;1059860;5120;0.79;13.3;70;Wool Pokémon;50;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1
181;Ampharos;2;electric;;Yellow;3;90;95;105;165;110;45;610;0;45;1059860;5120;1.40;61.5;70;Light Pokémon;50;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1
182;Bellossom;2;grass;;Green;3;75;80;95;90;100;50;490;0;45;1059860;5120;0.41;5.8;70;Flower Pokémon;50;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5
183;Marill;2;water;fairy;Blue;1;70;20;50;20;50;40;250;0;190;800000;2560;0.41;8.5;70;Aquamouse Pokémon;50;0.5;0.5;0;2;1;0.5;0.5;1;1;2;1;0.5;1;2;1;1;1;0.5
184;Azumarill;2;water;fairy;Blue;3;100;50;80;60;80;50;420;0;75;800000;2560;0.79;28.5;70;Aquarabbit Pokémon;50;0.5;0.5;0;2;1;0.5;0.5;1;1;2;1;0.5;1;2;1;1;1;0.5
185;Sudowoodo;2;rock;;Brown;3;70;100;115;30;65;30;410;0;65;1000000;5120;1.19;38.0;70;Imitation Pokémon;50;1;1;1;1;1;2;0.5;0.5;1;2;2;1;0.5;0.5;1;1;2;2
186;Politoed;2;water;;Green;3;90;75;75;90;100;70;500;0;45;1059860;5120;1.09;33.9;70;Frog Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
187;Hoppip;2;grass;flying;Pink;1;35;35;40;35;55;50;250;0;255;1059860;5120;0.41;0.5;70;Cottonweed Pokémon;50;1;1;1;1;1;0.5;2;2;1;0.25;0;4;1;2;1;2;1;0.5
188;Skiploom;2;grass;flying;Green;2;55;45;50;45;65;80;340;0;120;1059860;5120;0.61;1.0;70;Cottonweed Pokémon;50;1;1;1;1;1;0.5;2;2;1;0.25;0;4;1;2;1;2;1;0.5
189;Jumpluff;2;grass;flying;Blue;3;75;55;70;55;95;110;460;0;45;1059860;5120;0.79;3.0;70;Cottonweed Pokémon;50;1;1;1;1;1;0.5;2;2;1;0.25;0;4;1;2;1;2;1;0.5
190;Aipom;2;normal;;Purple;1;55;70;55;40;55;85;360;0;45;800000;5120;0.79;11.5;70;Long Tail Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
191;Sunkern;2;grass;;Yellow;1;30;30;30;30;30;30;180;0;235;1059860;5120;0.30;1.8;70;Seed Pokémon;50;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5
192;Sunflora;2;grass;;Yellow;3;75;75;55;105;85;30;425;0;120;1059860;5120;0.79;8.5;70;Sun Pokémon;50;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5
193;Yanma;2;bug;flying;Red;1;65;65;45;75;45;95;390;0;75;1000000;5120;1.19;38.0;70;Clear Wing Pokémon;50;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1
194;Wooper;2;water;ground;Blue;1;55;45;45;25;25;15;210;0;255;1000000;5120;0.41;8.5;70;Water Fish Pokémon;50;1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1
195;Quagsire;2;water;ground;Blue;3;95;85;85;65;65;35;430;0;90;1000000;5120;1.40;75.0;70;Water Fish Pokémon;50;1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1
196;Espeon;2;psychic;;Purple;3;65;65;60;130;95;110;525;0;45;1000000;8960;0.89;26.5;70;Sun Pokémon;88.1;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1
197;Umbreon;2;dark;;Black;3;95;65;110;60;130;65;525;0;45;1000000;8960;0.99;27.0;35;Moonlight Pokémon;88.1;2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1
198;Murkrow;2;dark;flying;Black;1;60;85;42;85;42;91;405;0;30;1059860;5120;0.51;2.1;35;Darkness Pokémon;50;1;0.5;1;2;2;1;1;1;0.5;0.5;0;2;1;1;0;2;1;1
199;Slowking;2;water;psychic;Pink;3;95;75;80;100;110;30;490;0;70;1000000;5120;2.01;79.5;70;Royal Pokémon;50;2;2;1;2;1;0.5;0.5;1;2;2;1;0.5;1;1;0.5;1;0.5;0.5
200;Misdreavus;2;ghost;;Purple;1;60;60;60;85;85;85;435;0;45;800000;6400;0.71;1.0;35;Screech Pokémon;50;0.5;2;1;1;1;0;1;1;2;1;1;1;0;0.5;1;1;1;1
201;Unown;2;psychic;;Black;3;48;72;48;72;48;48;336;0;225;1000000;10240;0.51;5.0;70;Symbol Pokémon;;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1
202;Wobbuffet;2;psychic;;Blue;3;190;33;58;33;58;33;405;0;45;1000000;5120;1.30;28.5;70;Patient Pokémon;50;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1
203;Girafarig;2;normal;psychic;Yellow;3;70;80;65;90;65;85;455;0;60;1000000;5120;1.50;41.5;70;Long Neck Pokémon;50;2;2;1;1;1;1;1;1;0;1;1;1;1;1;0.5;1;1;1
204;Pineco;2;bug;;Grey;1;50;65;90;35;35;15;290;0;190;1000000;5120;0.61;7.2;70;Bagworm Pokémon;50;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1
205;Forretress;2;bug;steel;Purple;3;75;90;140;60;60;40;465;0;75;1000000;5120;1.19;125.8;70;Bagworm Pokémon;50;0.5;1;0.5;1;0.5;1;4;1;1;0.25;1;0.5;0.5;0;0.5;1;0.5;1
206;Dunsparce;2;normal;;Yellow;3;100;70;70;65;65;45;415;0;190;1000000;5120;1.50;14.0;70;Land Snake Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
207;Gligar;2;ground;flying;Purple;1;65;75;105;35;65;85;430;0;60;1059860;5120;1.09;64.8;70;Flyscorpion Pokémon;50;0.5;1;1;0;1;0.5;1;1;1;1;0;4;1;0.5;1;1;1;2
208;Steelix;2;steel;ground;Grey;3;75;125;230;55;95;30;610;0;25;1000000;6400;9.19;400.0;70;Iron Snake Pokémon;50;0.5;1;0.5;0;0.5;2;2;0.5;1;1;2;1;0.5;0;0.5;0.25;0.5;2
209;Snubbull;2;fairy;;Pink;1;60;80;50;40;40;30;300;0;190;800000;5120;0.61;7.8;70;Fairy Pokémon;24.6;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1
210;Granbull;2;fairy;;Purple;3;90;120;75;60;60;45;450;0;75;800000;5120;1.40;48.7;70;Fairy Pokémon;24.6;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1
211;Qwilfish;2;water;poison;Grey;3;65;95;85;55;55;85;440;0;45;1000000;5120;0.51;3.9;70;Balloon Pokémon;50;0.5;1;1;2;0.5;0.5;0.5;1;1;1;2;0.5;1;0.5;2;1;0.5;0.5
212;Scizor;2;bug;steel;Red;3;70;150;140;65;100;75;600;0;25;1000000;6400;1.80;118.0;70;Pincer Pokémon;50;0.5;1;0.5;1;0.5;1;4;1;1;0.25;1;0.5;0.5;0;0.5;1;0.5;1
213;Shuckle;2;bug;rock;Yellow;3;20;10;230;10;230;5;505;0;190;1059860;5120;0.61;20.5;70;Mold Pokémon;50;1;1;1;1;1;1;1;1;1;1;1;1;0.5;0.5;1;2;2;2
214;Heracross;2;bug;fighting;Blue;3;80;185;115;40;105;75;600;0;45;1250000;6400;1.50;54.0;70;Singlehorn Pokémon;50;0.5;0.5;1;1;2;0.5;2;4;1;0.5;0.5;1;1;1;2;1;1;1
215;Sneasel;2;dark;ice;Black;1;55;95;55;35;75;115;430;0;60;1059860;5120;0.89;28.0;35;Sharp Claw Pokémon;50;2;0.5;1;1;2;4;2;1;0.5;1;1;0.5;1;1;0;2;2;1
216;Teddiursa;2;normal;;Brown;1;60;80;50;50;50;40;330;0;120;1000000;5120;0.61;8.8;70;Little Bear Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
217;Ursaring;2;normal;;Brown;3;90;130;75;75;75;55;500;0;60;1000000;5120;1.80;125.8;70;Hibernator Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
218;Slugma;2;fire;;Red;1;40;40;40;70;40;20;250;0;190;1000000;5120;0.71;35.0;70;Lava Pokémon;50;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
219;Magcargo;2;fire;rock;Red;3;60;50;120;90;80;30;430;0;75;1000000;5120;0.79;55.0;70;Lava Pokémon;50;0.5;1;1;1;0.5;2;0.25;0.5;1;1;4;0.5;0.5;0.5;1;2;1;4
220;Swinub;2;ice;ground;Brown;1;50;50;40;30;30;50;250;0;225;1250000;5120;0.41;6.5;70;Pig Pokémon;50;1;1;1;0;1;2;2;1;1;2;1;1;1;0.5;1;1;2;2
221;Piloswine;2;ice;ground;Brown;2;100;100;80;60;60;50;450;0;75;1250000;5120;1.09;55.8;70;Swine Pokémon;50;1;1;1;0;1;2;2;1;1;2;1;1;1;0.5;1;1;2;2
222;Corsola;2;water;rock;Pink;3;65;55;95;65;95;35;410;0;60;800000;5120;0.61;5.0;70;Coral Pokémon;24.6;1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1
223;Remoraid;2;water;;Grey;1;35;65;35;65;35;65;300;0;190;1000000;5120;0.61;12.0;70;Jet Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
224;Octillery;2;water;;Red;3;75;105;75;105;75;45;480;0;75;1000000;5120;0.89;28.5;70;Jet Pokémon;50;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
225;Delibird;2;ice;flying;Red;3;45;55;45;65;45;75;330;0;45;800000;5120;0.89;16.0;70;Delivery Pokémon;50;0.5;1;1;2;1;1;2;1;1;0.5;0;1;1;1;1;4;2;1
226;Mantine;2;water;flying;Purple;3;85;40;70;80;140;70;485;0;25;1250000;6400;2.11;220.0;70;Kite Pokémon;50;0.5;1;1;4;1;0.5;0.5;1;1;1;0;1;1;1;1;2;0.5;0.5
